game,game_type,game_date,game_day,game_time,game_place,team_name_top,team_name_bottom,1_top,2_top,3_top,4_top,5_top,6_top,7_top,8_top,9_top,points_top,1_bottom,2_bottom,3_bottom,4_bottom,5_bottom,6_bottom,7_bottom,8_bottom,9_bottom,points_bottom
560383,練習試合,2021-10-24,日,13:00,陵南公園野球場,留年バスターズ,smiley,0,0.0,0.0,1.0,0.0,0.0,3.0,,,4,2,1.0,1.0,0.0,0.0,1.0,,,,5
552104,練習試合,2021-09-26,日,9:00,善福寺川緑地野球場,留年バスターズ,イケメンズ,3,0.0,0.0,1.0,0.0,0.0,3.0,,,7,0,0.0,0.0,1.0,0.0,0.0,0.0,,,1
552098,練習試合,2021-08-09,月,13:30,陵南公園野球場,留年バスターズ,青山学院大学,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5
540232,公式戦,2021-08-01,日,15:00,城北中央公園 野球場,留年バスターズ,Chuyans,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,0.0,0.0,1.0,0.0,0.0,,,,2
539963,公式戦,2021-08-01,日,12:00,大宮健保グラウンド,留年バスターズ,東京MAJESTY,3,0.0,0.0,0.0,1.0,,,,,4,0,0.0,1.0,4.0,,,,,,5
537299,練習試合,2021-07-24,土,12:45,北野公園野球場,West Legends,留年バスターズ,0,3.0,1.0,0.0,0.0,0.0,3.0,,,7,0,4.0,0.0,0.0,0.0,1.0,0.0,,,5
534517,公式戦,2021-07-18,日,12:00,桜川公園野球場,SAVERS,留年バスターズ,0,0.0,0.0,1.0,0.0,,,,,1,1,0.0,5.0,0.0,,,,,,6
525917,練習試合,2021-06-13,日,19:00,陵南公園野球場,青山学院大学,留年バスターズ,0,0.0,0.0,0.0,,,,,,0,0,0.0,5.0,,,,,,,5
525914,練習試合,2021-06-13,日,17:00,陵南公園,青山学院大学,留年バスターズ,0,0.0,0.0,0.0,1.0,0.0,0.0,,,1,2,2.0,3.0,0.0,0.0,1.0,,,,8
525006,練習試合,2021-06-12,土,14:00,郷土の森第二野球場 軟式野球場D面,留年バスターズ,東京REDFOX,1,0.0,0.0,0.0,,,,,,1,0,0.0,0.0,0.0,,,,,,0
524994,練習試合,2021-06-12,土,11:30,郷土の森第二野球場 軟式野球場D面,留年バスターズ,東京REDFOX,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2
519658,公式戦,2021-05-23,日,17:00,大泉中央公園 野球場,留年バスターズ,MilkyWave,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,2.0,,,,2
512563,練習試合,2021-04-25,日,10:00,調布市民球場,留年バスターズ,それゆけ！！ザ・ソメチーズ２,0,0.0,0.0,3.0,0.0,1.0,0.0,,,4,2,0.0,0.0,0.0,1.0,0.0,1.0,,,4
510596,公式戦,2021-04-18,日,17:00,世田谷総合運動場,関東昇竜会,留年バスターズ,0,0.0,0.0,0.0,0.0,0.0,2.0,,,2,0,0.0,1.0,1.0,1.0,3.0,,,,6
508402,公式戦,2021-04-11,日,17:10,陵南公園野球場,G-mates,留年バスターズ,1,0.0,0.0,0.0,,,,,,1,0,7.0,4.0,,,,,,,11
506479,公式戦,2021-04-04,日,12:00,ふじみ野市荒川運動公園,青霧,留年バスターズ,1,1.0,1.0,0.0,0.0,6.0,5.0,,,14,0,0.0,0.0,3.0,0.0,0.0,0.0,,,3
502983,練習試合,2021-03-18,木,13:00,世田谷総合運動場,狛江ハンタース,留年バスターズ,1,0.0,0.0,1.0,0.0,0.0,3.0,0.0,,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1
499433,練習試合,2021-02-28,日,17:00,世田谷総合運動場野球場,留年バスターズ,マイルドスターズ,2,0.0,4.0,0.0,0.0,0.0,0.0,,,6,2,0.0,0.0,0.0,0.0,2.0,,,,4
498782,公式戦,2021-02-27,土,13:00,台東リバーサイド野球場,野球しませんか？,留年バスターズ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,1.0,1.0,0.0,0.0,0.0,,,,2
498777,公式戦,2021-02-27,土,11:00,台東リバーサイド野球場,Aphro Dite's,留年バスターズ,2,0.0,0.0,0.0,0.0,0.0,,,,2,1,0.0,1.0,1.0,2.0,,,,,5
497824,練習試合,2021-02-21,日,17:00,世田谷総合運動場,Red Raccoons,留年バスターズ,2,1.0,4.0,0.0,1.0,0.0,0.0,,,8,1,0.0,0.0,1.0,0.0,0.0,0.0,,,2
497484,練習試合,2021-02-21,日,11:00,大田区多摩川緑地野球場,gratex(グラテックス),留年バスターズ,2,1.0,0.0,2.0,0.0,0.0,,,,5,0,0.0,0.0,1.0,0.0,1.0,,,,2
496921,練習試合,2021-02-16,火,13:00,世田谷総合運動場野球場,小金井Avengers,留年バスターズ,0,0.0,2.0,0.0,0.0,1.0,0.0,,,3,1,1.0,1.0,2.0,1.0,0.0,,,,6
495860,練習試合,2021-02-11,木,17:00,世田谷総合運動場野球場,ミラクルレイダース,留年バスターズ,1,1.0,0.0,0.0,0.0,0.0,0.0,,,2,1,0.0,2.0,0.0,0.0,3.0,,,,6
495852,練習試合,2021-02-11,木,13:00,武蔵野公園野球場,留年バスターズ,TOKYO EAGLES,0,0.0,1.0,0.0,0.0,0.0,3.0,,,4,0,0.0,0.0,4.0,0.0,0.0,,,,4
493508,練習試合,2021-01-17,日,17:00,世田谷総合運動場野球場,留年バスターズ,小金井Avengers,2,0.0,0.0,0.0,0.0,2.0,,,,4,0,0.0,0.0,0.0,0.0,,,,,0
490470,練習試合,2020-12-20,日,11:00,調布基地跡地運動広場,それゆけ！！ザ・ソメチーズ２,留年バスターズ,1,0.0,0.0,0.0,1.0,3.0,0.0,,,5,0,0.0,1.0,0.0,0.0,0.0,0.0,,,1
488784,練習試合,2020-12-12,土,17:00,猿江恩賜公園野球場,ミラクルドリーマーズ,留年バスターズ,1,0.0,0.0,1.0,2.0,1.0,,,,5,1,3.0,3.0,0.0,0.0,,,,,7
488683,練習試合,2020-12-12,土,11:00,篠崎公園野球場B,大江戸ドリーマーズ,留年バスターズ,1,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,0.0,2.0,3.0,0.0,0.0,,,,6
481704,練習試合,2020-11-15,日,14:00,江戸川区市川橋上流野球場,留年バスターズ,アンビシャス東京,0,0.0,1.0,1.0,0.0,0.0,2.0,,,4,2,0.0,0.0,1.0,0.0,0.0,,,,3
481699,練習試合,2020-11-15,日,12:00,江戸川病院前野球場 13面,OTナショナルズ,留年バスターズ,0,0.0,0.0,3.0,4.0,2.0,2.0,,,11,0,0.0,1.0,0.0,2.0,0.0,0.0,,,3
